ts	phase	decision	why	evidence	result
2026-09-16T06:58:08Z	artwork	Finish all sprites, fortifications and final frame validation	Intermediate Blender logs showed render progress rather than final coverage or visual bounds	docs/evidence/three-ages/frame-validation.json	3456 new unit frames have no missing or clipped frames and 23px minimum margin; asset-validation-final.json passes 100 assets and 8250 frames
2026-09-16T06:58:08Z	browser	Verify Town Age, recruitment cancellation, rally and gate controls through browser input	Headless rules do not prove controls or artwork work together	docs/evidence/three-ages/browser/wall-and-gate.png	Human Orc huge match ended in defeat at 6:33; Dwarf gate opened and closed, adjoining wall completed; queued Mason refunded 50 wood
2026-09-16T06:58:08Z	maps	Record scout arrival separately from economic use of flank camps	Complete AI matches alone did not establish that the added resources were reached or mined	docs/evidence/three-ages/matches-final/tideborn-automata-large-72931.json	Both AIs visited flank camps but did not mine them in this sample; focused progression test reaches a camp, builds its HQ and delivers ore
2026-09-16T06:58:08Z	terminal	Verify final CLI progression match and deterministic replay	Earlier terminal evidence preceded the specialist age change	docs/evidence/three-ages/terminal-final-replay.log	222 requests replayed; small Automata vs Tideborn completed at 461.75 seconds
2026-09-16T06:58:08Z	interface	Show researched attack and armor for owned units	Base stats hid the effect of paid military technology; enemy research must remain private	docs/evidence/three-ages/hud-final.log	3 interface tests passed; carried resources now display whole units
2026-09-16T06:59:42Z	performance	Finish a valid final-build 100-unit sample after tests completed	The previous valid sample overlapped tests; repeat without that CPU load	docs/evidence/three-ages/browser/benchmark-final.json	58.48 FPS over 60 seconds; p95 18.7ms; 100 living visible on-screen units; 467.50 MiB decoded faction atlases; no console warnings or errors
2026-09-16T07:01:05Z	delivery	Commit game, artwork and executable verification scripts	Keep the playable implementation separate from the evidence report	d35bad871fe8b778b4dd0aeff5d62ccf59e3ea9c	Feature commit created with required authorship footer; remaining changes are documentation and evidence
2026-09-16T07:01:05Z	delivery	Restore the ordinary playable preview and remove viewport override	The user should receive the game menu rather than a paused benchmark	http://127.0.0.1:4173/	Browser menu verified; preview service active and HTTP 200; deliverable tab retained
2026-09-16T07:03:21Z	audit	Finish independent trail review and retain its remaining limitations	Evidence should distinguish tested rules, observed browser controls and unverified combinations	docs/evidence/three-ages/trail-review.md	GPT-5.6 Sol reviewed; full suite was 237 then 15 focused checks, browser Citadel coverage incomplete, distant-camp AI economy and balance/memory limits retained
2026-09-16T07:03:21Z	audit	Clarify browser evidence for console and refund observations	Benchmark JSON proves timing and artwork, not console logs or historical click actions	docs/evidence/three-ages/browser/asset-pairs-and-fortifications.json	No captured browser warnings/errors; 50-wood refund was observed in transcript AX states at 1:45 and 1:48 but lacks standalone before/after screenshot
