ts	phase	decision	why	evidence	result
2026-09-05T05:17:21.270255+00:00	reproduction	Run complete documented asset wrapper	Verify serial generators and packer together after component checks	work/asset-generation-wrapper.log;work/reproduction-before.json	live session58811; environment/buildings completed; unit stage running
2026-09-05T05:33:29Z	browser	Completed normal fairy victory and end-screen restart with final assets	Verify both factions through real player controls and record observed pacing	docs/evidence/FAIRIES_FINAL_ART_MATCH.md; docs/evidence/fairies-final-art-session.jsonl	Victory at346.2s; reset verified; pacing below target
2026-09-05T05:33:29Z	assets	Completed full Blender asset regeneration and measured output differences	Prove the documented render command through terminal completion	docs/evidence/ASSET_REPRODUCTION.md; work/asset-generation-wrapper.log	Exit0;31assets valid; small pixel differences documented
2026-09-05T06:26:16Z	pacing	Double combat recruitment times for both factions	Earlier complete-art human matches ended before the target	docs/evidence/PACING.md; docs/evidence/ORCS_PACED_MATCH.md	Automated fixtures within target; normal orc victory400.30s still below target
2026-09-05T06:26:16Z	controls	Fix additive Shift selection and block paused gameplay hotkeys	Browser input exposed missed modifiers and commands during pause	docs/evidence/CONTROLS_AND_AUDIO.md	Additive selection and paused command checks passed in browser
2026-09-05T06:26:16Z	audio	Add gesture-unlocked synthesized cues and persistent mute	Basic interface and combat audio is part of the agreed scope	src/game/GameAudio.ts; docs/evidence/ORCS_PACED_MATCH.md; docs/evidence/CONTROLS_AND_AUDIO.md	Output graph and mute verified; attack and victory/defeat cues recorded
2026-09-05T06:26:16Z	content	Verify a faction worker replacement in an isolated browser fixture	Faction identity must remain editable without rewriting core systems	docs/evidence/CONTENT_REPLACEMENT.md	Changed artwork/name/stats/cost/training/ability worked; fixture server stopped
2026-09-05T06:26:16Z	performance	Record repeated current build results below the FPS target	The earlier144FPS result was not reproduced	docs/evidence/PERFORMANCE_CURRENT.md	58.5–58.6FPS with100units at1080p; cause of historical difference unproven
2026-09-05T06:26:16Z	rules	Audit shared rules and add focused coverage	Completion needs evidence for economy/combat/visibility invariants	docs/evidence/RULES_AUDIT.md	54tests passed before subsequent scout change
2026-09-05T06:26:16Z	build	Reproduce the production output from isolated locked dependencies	Verify the documented local install/build/preview workflow	docs/evidence/BUILD_REPRODUCTION.md	All67files byte-identical for index-DBgkXH8x.js
2026-09-05T06:26:16Z	browser	Complete normal orc victory and end-screen restart with regenerated assets	Verify current artwork and player control loop after previous interrupted match	docs/evidence/ORCS_PACED_MATCH.md	Victory400.30s; restart420wood220ore6/12pop; pacing remains open
2026-09-05T06:26:16Z	camera	Handle short pan key taps and release outside the canvas	Polled keys lose taps between frames; outside release can leave drag active	src/game/GameScene.ts; docs/evidence/CAMERA_FIX.md	TypeScript passed; browser verification pending
2026-09-05T06:26:16Z	ai	Limit the initial scout to one dispatch per side	Repeated replacement scouts prevented the army from assembling	src/core/simulation.ts; tests/simulation.test.ts	New regressions pass; one15minute automated fixture fails; diagnostic in progress
2026-09-05T06:31:45Z	camera	Verify tap panning and preserved attack-move through browser input	Confirm the fix on the running production build	docs/evidence/CAMERA_FIX.md; docs/evidence/camera-paused-pan.json	Right/Down taps moved camera; Space returned home; A with selection issued attackMove; paused Right moved48pixels
2026-09-05T06:31:45Z	diagnosis	Trace an automated match past its unchanged15minute deadline	Determine whether longer pacing was real combat or a movement failure	work/grouped-scout-diagnostic.json; src/core/simulation.ts	Two concrete stalls reproduced: blocked start connector beside ore and ranged stopping outside firing distance; fixes in progress
2026-09-05T06:39:00Z	movement	Fix the blocked start connector and ranged stopping-distance mismatch	Diagnosed units remained stuck with active orders and undamaged headquarters	docs/evidence/RULES_AUDIT.md; tests/simulation.test.ts; docs/evidence/current-tests.txt	Both regressions failed before fixes;58tests pass now; automated matches546.80s/538.20s below pacing target
2026-09-05T06:39:00Z	visuals	Review final faction silhouettes and battlefield readability	Finished assets need visual inspection beyond structural packing checks	docs/evidence/VISUAL_REVIEW.md; art/blender/raw/units/directions-contact.png	Faction and role cues visible; overlap and Wardrum rear-view limits recorded
2026-09-05T06:40:12Z	verification	Build and smoke-test the corrected game	Verify movement changes integrate into the real browser app	docs/evidence/current-tests.txt; docs/evidence/corrected-build-fairy-smoke.json; docs/evidence/RULES_AUDIT.md	58tests pass; index-6tDjccOB.js built; fairy harvest/attack-move passed; no browser errors; full pacing test pending
2026-09-05T07:11:32.409572+00:00	performance	Measure corrected-movement build at1080p with100units	Refresh performance evidence after movement fixes	docs/evidence/performance-corrected.json; docs/evidence/PERFORMANCE_CURRENT.md	Valid60second sample58.4755FPS below60target
2026-09-05T07:11:32.409584+00:00	pacing	Retain9/10army thresholds after12/14diagnostics	Neither larger-group candidate put both starts in10-15minute range	docs/evidence/PACING_STUDY.md	No threshold change; all study outcomes favored orcs
2026-09-05T07:11:32.409587+00:00	browser	Recover interrupted match then correct tab retention	Recovered game survived at7:15 but turn cleanup removed unmarked tab	docs/evidence/FAIRIES_CORRECTED_MATCH.md	Old match excluded; fresh tab10 explicitly marked for handoff
2026-09-05T07:11:32.409588+00:00	build	Reproduce corrected-movement production output in isolated checkout	Verify current editable sources reproduce the playable build	docs/evidence/BUILD_REPRODUCTION.md; work/build-reproduction/output-comparison.json	All67files matched index-6tDjccOB.js; locked isolated dependencies reused
2026-09-05T07:11:32.409590+00:00	browser	Complete corrected fairy match through defeat and restart	Exercise full player-controlled game after movement corrections	docs/evidence/FAIRIES_CORRECTED_MATCH.md; docs/evidence/fairies-corrected-session.jsonl	Defeat496.80s;105snapshots; end-screen restart verified; below pacing target
2026-09-05T07:11:32.409591+00:00	pacing	Test and adopt shared harvest rate2.28resources per second	Prior human matches and fixed automated scenarios remained too short	docs/evidence/ECONOMY_STUDY.md; src/core/content.ts; src/core/simulation.ts	One60%candidate; adopted source650.30s/616.35s; bothorcwins; human pacing pending
2026-09-05T07:11:32.409592+00:00	verification	Run unchanged full rules suite and build after rate adoption	Ensure pacing setting preserves rules and integration	docs/evidence/current-tests.txt; docs/evidence/current-verification.json	58tests pass; index-BbPjUpKo.js built; full browser matches pending
2026-09-05T07:13:32.740115+00:00	browser	Verify adopted harvest rate through normal worker orders	Check the setting reaches the production browser game	docs/evidence/harvest-rate-observation.json; docs/evidence/harvest-browser-smoke.json; docs/evidence/harvest-smoke-session.jsonl	Wood and ore deposits observed; two intervals measured 2.28 per second; no browser warnings or errors
2026-09-05T07:15:58.481170+00:00	build	Reproduce current harvest-rate build in isolated checkout	Refresh build evidence after final runtime setting changed	docs/evidence/BUILD_REPRODUCTION.md; work/build-reproduction/output-comparison.json	All 67 files match index-BbPjUpKo.js; isolated dependencies reused with matching lockfile
2026-09-05T07:15:58.481183+00:00	performance	Measure adopted harvest-rate production build	Keep performance evidence aligned with current source	docs/evidence/performance-harvest.json; docs/evidence/PERFORMANCE_CURRENT.md	Valid 100-unit 1080p sample: 58.4981 FPS; below 60 target; full human pacing still open
2026-09-05T07:33:39.217320+00:00	browser	Finish recovered Orc match and verify victory restart	Check current-build outcome without discarding the surviving match	docs/evidence/ORCS_HARVEST_MATCH.md; docs/evidence/orcs-harvest-restart.json	Victory 11:24; restart verified; unattended interval and missing telemetry exclude normal pacing proof
2026-09-05T07:33:39.217333+00:00	verification	Accept completed playable map using source audit and browser play	Resolve unchecked map item against inspected current deliverable	docs/evidence/DELIVERABLE_AUDIT.md; docs/evidence/ORCS_HARVEST_MATCH.md; docs/REQUIREMENTS.md	Map present and played; visual overlap documented; final human pacing remains open
2026-09-05T07:33:39.217337+00:00	tooling	Restart stopped local preview server and verify telemetry recovery	Loaded game continued but QA records stopped when server exited	docs/evidence/ORCS_HARVEST_MATCH.md; docs/evidence/orcs-harvest-restart.json	Port 4173 serving; automatic paused restart snapshot recovered
2026-09-05T08:08:05.063526+00:00	tooling	Retain detached local preview after foreground process exited	Preview exit 143 interrupted early Fairy telemetry; detached preview survived the following full match	docs/evidence/FAIRIES_HARVEST_MATCH.md; docs/evidence/FAIRIES_DEFENSE_MATCH.md; work/preview-server.pid	Server live on port 4173; later match telemetry continuous
2026-09-05T08:08:05.063536+00:00	browser	Record current-build Fairy harvest defeat and restart	Verify normal player controls and completed outcome on the adopted economy	docs/evidence/FAIRIES_HARVEST_MATCH.md; docs/evidence/fairies-harvest-provenance.json	Defeat 6:57; early telemetry gap and opening mistakes recorded; restart verified
2026-09-05T08:08:05.063538+00:00	browser	Record uninterrupted Fairy defensive defeat and restart	Separate missing telemetry from actual match pacing and combat behavior	docs/evidence/FAIRIES_DEFENSE_MATCH.md; docs/evidence/fairies-defense-provenance.json	Defeat 9:06; 119 snapshots; manual and automatic illusions; restart verified; pacing unresolved
2026-09-05T08:08:05.063540+00:00	balance	Reject global building-health increase as an established pacing fix	Offline comparison extended destruction without resolving Fairy army losses	docs/evidence/FAIRIES_DEFENSE_MATCH.md; work/fortification-study	No building-stat change adopted
2026-09-05T08:08:05.063542+00:00	balance	Investigate grouped combat after comparable mixed-army losses	Orcs retained five or six units in every baseline case including measured Fairy grove healing	work/faction-balance-study/README.md; work/faction-balance-study/hp-140.json; work/faction-balance-study/hp-170.json	Thornblade 170 HP candidate not adopted; damage and targeting diagnosis pending
2026-09-05T08:18:47.989072+00:00	balance	Reject lower Orc starting damage as an established fix	One automated match failed to finish at 900 seconds and mixed fights still favored Orcs	work/faction-balance-study/DAMAGE_CANDIDATE.md	No faction-stat changes adopted
2026-09-05T08:18:47.989083+00:00	controls	Add explicit Hold position order for both factions	Idle melee pursuit broke defensive support; players need a way to stay within ranged and grove support	work/faction-balance-study/ABLATION.md; src/core/simulation.ts; src/game/GameScene.ts; src/ui/Hud.ts	H and HUD button added;60tests pass; browser verification underway
2026-09-05T08:24:52.934061+00:00	controls	Verify final Hold Position build through keyboard and HUD	Confirm orders reach the real game and later movement releases defensive hold	docs/evidence/HOLD_POSITION.md; docs/evidence/hold-final-provenance.json; docs/evidence/current-verification.json	61tests pass; final browser9PMVYv2m checked; combat edge case covered by rules, not browser combat
2026-09-05T08:24:52.934071+00:00	build	Reproduce corrected Hold Position production build	Keep local build evidence aligned with the new target-filter regression	docs/evidence/BUILD_REPRODUCTION.md; work/build-reproduction/output-comparison.json	All67 files match index-9PMVYv2m.js; pacing and new-build performance remain pending
2026-09-05T08:28:26.949480+00:00	performance	Measure final Hold Position build with 100 visible units	Refresh performance evidence after shared control changes	docs/evidence/performance-hold.json; docs/evidence/performance-hold-provenance.json	Valid1080p sample:58.5255FPS; below60 target
2026-09-05T08:49:26.580320+00:00	browser	Complete uninterrupted current-build Fairy defense and restart	Verify practical hold/healing/repair play and normal target-duration outcome	docs/evidence/FAIRIES_HOLD_MATCH.md; docs/evidence/fairies-hold-provenance.json; work/hold-match-analysis/REPORT.md	Defeat13:25;164snapshots;restart8.5;61source hashes unchanged; known balance and control mistakes retained
2026-09-05T08:49:43.966797+00:00	audit	Correct the preceding row source-hash count	The number61 refers to passing tests, not the number of hashed files	docs/evidence/current-verification.json	14 source/package/test hashes matched;61 tests pass; match result unchanged
2026-09-05T08:54:12.080409+00:00	acceptance	Accept the original playable milestone against retained evidence	Every original deliverable has applicable evidence; performance shortfall and balance/readability limits remain disclosed	docs/evidence/COMPLETION_AUDIT.md; docs/REQUIREMENTS.md; docs/KNOWN_LIMITATIONS.md	61tests;67file reproducible build;normal Fairy13:25;current100unit1080p58.5255FPS;14source/package/test hashes still match
2026-09-13T22:30:00Z	feature	Add building research with two worker upgrades at the headquarters	Give every faction an economic growth path through worker gathering and movement speed	src/core/content.ts; tests/upgrades.test.ts	9 new tests pass; research command wired through UI, terminal protocol and built-in AI
